countryCode,stateCode,stateName1,stateName2,stateName3,googleName,googleAdmin,countryName,lat,lng,bounds,combinaciones
BR,BR-PA,Para,Para,Para,"State of Para, Brazil",administrative_area_level_1,Brazil,-4,-53,2.5910246@-46.0643195*-9.8411565@-58.89827700000001,169
BR,BR-PE,Pernambuco,Pernambuco,Pernambuco,"State of Pernambuco, Brazil",administrative_area_level_1,Brazil,-8.33333,-37.75,-3.830501599999999@-32.3918587*-9.482900599999999@-41.3583307,70
BR,BR-PI,Piaui,Piaui,Piaui,"State of Piaui, Brazil",administrative_area_level_1,Brazil,-7.25,-42.33333,-2.7486151@-40.3705066*-10.9287593@-45.9942887,54
BR,BR-RN,Rio Grande do Norte,Rio Grande do Norte,Rio Grande do Norte,"State of Rio Grande do Norte, Brazil",administrative_area_level_1,Brazil,-5.75,-36.5,-4.8317963@-34.9687549*-6.9827372@-38.5821039,15
BR,BR-RS,Rio Grande do Sul,Rio Grande do Sul,Rio Grande do Sul,"State of Rio Grande do Sul, Brazil",administrative_area_level_1,Brazil,-30,-53.5,-27.0805987@-49.6916345*-33.752084@-57.6443035,63
BR,BR-RJ,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro,"State of Rio de Janeiro, Brazil",administrative_area_level_1,Brazil,-22.25,-42.5,-20.7640285@-40.9575488*-23.3688755@-44.8889248,20
BR,BR-RO,Rondonia,Rondonia,Rondonia,"State of Rondonia, Brazil",administrative_area_level_1,Brazil,-11,-63,-7.9692976@-59.77434709999999*-13.6937038@-66.8102456,56
BR,BR-RR,Roraima,Roraima,Roraima,"State of Roraima, Brazil",administrative_area_level_1,Brazil,2.25,-61.25,5.2718389@-58.88687820000001*-1.5806358@-64.8252444,56
BR,BR-SC,Santa Catarina,Santa Catarina,Santa Catarina,"State of Santa Catarina, Brazil",administrative_area_level_1,Brazil,-27,-50,-25.9559588@-48.35680809999999*-29.351441@-53.83635870000001,30
BR,BR-SE,Sergipe,Sergipe,Sergipe,"State of Sergipe, Brazil",administrative_area_level_1,Brazil,-10.5,-37.33333,-9.5150294@-36.3998681*-11.5685288@-38.2456472,9
BR,BR-SP,Sao Paulo,Sao Paulo,Sao Paulo,"State of Sao Paulo, Brazil",administrative_area_level_1,Brazil,-22,-49,-19.7796583@-44.1609407*-25.3053203@-53.1101046,70
BR,BR-TO,Tocantins,Tocantins,Tocantins,"State of Tocantins, Brazil",administrative_area_level_1,Brazil,-10.5,-48,-5.1683828@-45.6960778*-13.4677157@-50.74205809999999,54
CL,CL-AN,Antofagasta,Antofagasta,Antofagasta,"Antofagasta Region, Chile",administrative_area_level_1,Chile,-23.5,-69,-20.9403699@-66.9894978*-26.0612851@-70.7377887,35
CL,CL-AT,Atacama,Atacama,Atacama,"Atacama Region, Chile",administrative_area_level_1,Chile,-27.5,-70,-25.2897005@-68.2668621*-29.5373751@-71.59368839999999,20
CL,CL-AI,Aysén,Aisen,Aysén,"XI Region, Chile",administrative_area_level_1,Chile,-46.5,-73.5,-43.6399767@-71.08750119999999*-49.1555887@-75.67981809999999,35
CL,CL-CO,Coquimbo,Coquimbo,Coquimbo,"Coquimbo Region, Chile",administrative_area_level_1,Chile,-30.75,-71,-29.040411@-69.81023499999999*-32.2832962@-71.7172677,12
CL,CL-ML,Maule,Maule,Maule,"Maule Region, Chile",administrative_area_level_1,Chile,-35.5,-71.5,-34.7119046@-70.32601170000001*-36.5456537@-72.7858159,9
CL,CL-AP,Region de Arica y Parinacota,Arica y Parinacota,Region de Arica y Parinacota,"Arica y Parinacota Region, Chile",administrative_area_level_1,Chile,-18.57336,-69.46106,-17.5008571@-68.9160988*-19.2289667@-70.3780768,9
CL,CL-LR,Region de Los Rios,Los Rios,Region de Los Rios,"Los Rios Region, Chile",administrative_area_level_1,Chile,-40.01499,-72.51526,-39.2871405@-71.5829256*-40.6819043@-73.7253865,6
CL,CL-MA,Region de Magallanes y de la Antartica Chilena,Magallanes,Region de Magallanes y de la Antartica Chilena,"Magallanes y la Antartica Chilena Region, Chile",administrative_area_level_1,Chile,-52.50026,-73.00067,-48.5966006@-66.41813739999999*-55.9799552@-75.7158398,80
CL,CL-VS,Region de Valparaiso,Valparaiso,Region de Valparaiso,"Valparaiso, Chile",administrative_area_level_1,Chile,-32.75,-71.33333,-26.286388@-69.9914154*-33.9556781@-109.4548805,328
CL,CL-AR,Region de la Araucania,Araucania,Region de la Araucania,"Araucania, Chile",administrative_area_level_1,Chile,-38.5,-72,-37.5880497@-70.8301122*-39.6397244@-73.5191045,12
CL,CL-BI,Region del Biobio,Biobio,Region del Biobio,"Bio Bio Region, Chile",administrative_area_level_1,Chile,-37,-72.5,-36.00831470000001@-70.9811503*-38.4918218@-73.9699354,12
CL,CL-LI,Region del Libertador General Bernardo O’Higgins,O'Higgins,Region del Libertador General Bernardo O’Higgins,"O'Higgins Region, Chile",administrative_area_level_1,Chile,-34.5,-71,-33.8537681@-70.0121472*-35.006672@-72.0692203,9
CL,CL-RM,Santiago Metropolitan,Santiago Metropolitan,Region Metropolitana de Santiago,"Santiago Metropolitan Region, Chile",administrative_area_level_1,Chile,-33.47269,-70.64724,-32.919451@-69.7689943*-34.2878148@-71.7088102,9
CL,CL-TA,Tarapaca,Tarapaca,Region de Tarapaca,"Tarapaca Region, Chile",administrative_area_level_1,Chile,-20,-69.33333,-18.9387142@-68.4379039*-21.6334003@-70.286583,12
CO,CO-ANT,Antioquia,Antioquia,Departamento de Antioquia,"Antioquia, Colombia",administrative_area_level_1,Colombia,7,-75.5,8.881407099999999@-73.871107*5.418365@-77.135572,20
CO,CO-ATL,Atlantico,Atlantico,Departamento del Atlantico,"Atlantico, Colombia",administrative_area_level_1,Colombia,10.75,-75,11.1066588@-74.71544999999999*10.2537891@-75.26694909999999,4
CO,CO-DC,Bogota D.C.,Bogota D.C.,Distrito Capital de Bogota,"Bogota, Colombia",administrative_area_level_1,Colombia,4.25,-74.18333,4.8372401@-73.991733*3.726945@-74.4533209,4
CO,CO-CUN,Cundinamarca,Cundinamarca,Departamento de Cundinamarca,"Cundinamarca, Colombia",administrative_area_level_1,Colombia,5,-74.16667,5.8372401@-73.05116*3.727751@-74.89025199999999,6
CO,CO-ARA,Departamento de Arauca,Arauca,Departamento de Arauca,"Arauca, Colombia",administrative_area_level_1,Colombia,6.66667,-71,7.105039@-69.4268809*6.033179899999999@-72.365466,8
CO,CO-BOL,Departamento de Bolivar,Bolivar,Departamento de Bolivar,"Bolivar, Colombia",administrative_area_level_1,Colombia,9,-74.33333,10.8016125@-73.7470541*6.999522@-75.7962185,15
CO,CO-BOY,Departamento de Boyaca,Boyaca,Departamento de Boyaca,"Boyaca, Colombia",administrative_area_level_1,Colombia,5.66667,-73,7.055604@-71.948539*4.655213@-74.664039,16
CO,CO-CAL,Departamento de Caldas,Caldas,Departamento de Caldas,"Caldas, Colombia",administrative_area_level_1,Colombia,5.26667,-75.33333,5.780033@-74.6251699*4.7996951@-75.9226731,4
CO,CO-CAS,Departamento de Casanare,Casanare,Departamento de Casanare,"Casanare, Colombia",administrative_area_level_1,Colombia,5.5,-71.5,6.3052261@-69.8333339*4.280762@-73.07768589999999,15
CO,CO-COR,Departamento de Cordoba,Cordoba,Departamento de Cordoba,"Cordoba, Colombia",administrative_area_level_1,Colombia,8.33333,-75.66667,9.4400743@-74.7792391*7.3575519@-76.514574,9
CO,CO-LAG,Departamento de La Guajira,La Guajira,Departamento de La Guajira,"La Guajira, Colombia",administrative_area_level_1,Colombia,11.5,-72.5,12.458484@-71.1131984*10.397053@-73.664886,9
CO,CO-NAR,Departamento de Narino,Narino,Departamento de Narino,"Narino, Colombia",administrative_area_level_1,Colombia,1.5,-78,2.6839062@-76.83310999999999*0.363496@-79.00887290000001,12
CO,CO-NSA,Departamento de Norte de Santander,Norte de Santander,Departamento de Norte de Santander,"North Santander, Colombia",administrative_area_level_1,Colombia,8,-73,9.2912881@-72.011308*6.872319@-73.6341071,8
CO,CO-RIS,Departamento de Risaralda,Risaralda,Departamento de Risaralda,"Risaralda, Colombia",administrative_area_level_1,Colombia,5,-76,5.5305969@-75.374236*4.6633741@-76.25103299999999,4
CO,CO-SAN,Departamento de Santander,Santander,Departamento de Santander,"Santander Department, Colombia",administrative_area_level_1,Colombia,6.83333,-73.41667,8.142228@-72.477419*5.713521@-74.528268,12
CO,CO-SUC,Departamento de Sucre,Sucre,Departamento de Sucre,"Sucre, Colombia",administrative_area_level_1,Colombia,9,-75,10.1453641@-74.5337909*8.2783699@-75.87584199999999,6
CO,CO-TOL,Departamento de Tolima,Tolima,Departamento de Tolima,"Tolima, Colombia",administrative_area_level_1,Colombia,4,-75.25,5.317885@-74.474767*2.8703579@-76.1085269,12
CO,CO-AMA,Departamento del Amazonas,Amazonas,Departamento del Amazonas,"Amazonas, Colombia",administrative_area_level_1,Colombia,-1.16667,-71.5,0.1090809@-69.390973*-4.227575@-74.386769,36
CO,CO-CAQ,Departamento del Caqueta,Caqueta,Departamento del Caqueta,"Caqueta, Colombia",administrative_area_level_1,Colombia,0.75,-74,2.964982@-71.3243329*-0.705722@-76.3036189,24
CO,CO-CAU,Departamento del Cauca,Cauca,Departamento del Cauca,"Cauca Department, Colombia",administrative_area_level_1,Colombia,2.5,-76.83333,3.3287411@-75.747925*0.9609829999999999@-78.2190632,16
CO,CO-CES,Departamento del Cesar,Cesar,Departamento del Cesar,"Cesar, Colombia",administrative_area_level_1,Colombia,9.33333,-73.5,10.868797@-72.88599409999999*7.674766999999999@-74.140322,12
CO,CO-CHO,Departamento del Choco,Choco,Departamento del Choco,"Choco, Colombia",administrative_area_level_1,Colombia,6,-77,8.657057@-75.997897*3.9930129@-77.885277,18
CO,CO-GUA,Departamento del Guainia,Guainia,Departamento del Guainia,"Guainia, Colombia",administrative_area_level_1,Colombia,2.5,-69,4.039582999999999@-66.8473261*1.1032909@-70.925658,20
CO,CO-GUV,Departamento del Guaviare,Guaviare,Departamento del Guaviare,"Guaviare, Colombia",administrative_area_level_1,Colombia,1.91667,-72,2.9240419@-69.98901*0.658498@-73.663095,15
CO,CO-HUI,Departamento del Huila,Huila,Departamento del Huila,"Huila, Colombia",administrative_area_level_1,Colombia,2.5,-75.58333,3.8309479@-74.41139799999999*1.513708@-76.623713,9
CO,CO-MAG,Departamento del Magdalena,Magdalena,Departamento del Magdalena,"Magdalena, Colombia",administrative_area_level_1,Colombia,10,-74.5,11.3486865@-73.5432941*8.912224@-74.9470849,8
CO,CO-MET,Departamento del Meta,Meta,Departamento del Meta,"Meta, Colombia",administrative_area_level_1,Colombia,3.5,-73,4.925192@-71.07722489999999*1.609153@-74.91315600000001,16
CO,CO-PUT,Departamento del Putumayo,Putumayo,Departamento del Putumayo,"Putumayo, Colombia",administrative_area_level_1,Colombia,0.5,-76,1.5155439@-73.837304*-0.573002@-77.22725179999999,15
CO,CO-VAC,Departamento del Valle del Cauca,Valle del Cauca,Departamento del Valle del Cauca,"Valle del Cauca, Colombia",administrative_area_level_1,Colombia,3.75,-76.5,5.015258@-75.704875*3.0615429@-77.54598299999999,9
CO,CO-VAU,Departamento del Vaupes,Vaupes,Departamento del Vaupes,"Vaupes, Colombia",administrative_area_level_1,Colombia,0.75,-70.75,2.08048@-69.107389*-1.2312849@-72.0376639,20
CO,CO-VID,Departamento del Vichada,Vichada,Departamento del Vichada,"Vichada, Colombia",administrative_area_level_1,Colombia,5,-69.5,6.320029@-67.4042139*2.739686@-71.0776631,25
CO,CO-SAP,"Providencia y Santa Catalina, Departamento de Archipielago de San Andres","Archipielago de San Andres, Providencia y Santa Catalina","Providencia y Santa Catalina, Departamento de Archipielago de San Andres","San Andres and Providencia, Colombia",administrative_area_level_1,Colombia,12.52449,-81.71983,13.3944878@-81.3491839*12.4801811@-81.73589500000001,2
CO,CO-QUI,Quindio Department,Quindio,Quindio Department,"Quindio, Colombia",administrative_area_level_1,Colombia,4.5,-75.66667,4.7214259@-75.3832071*4.0739729@-75.8961709,0
EC,EC-B,Provincia de Bolivar,Bolivar,Provincia de Bolivar,"Bolivar, Ecuador",administrative_area_level_1,Ecuador,-1.58333,-79.08333,-1.148095@-78.85047899999999*-2.2034861@-79.4053569,4
EC,EC-X,Provincia de Cotopaxi,Cotopaxi,Provincia de Cotopaxi,"Cotopaxi, Ecuador",administrative_area_level_1,Ecuador,-0.83333,-78.83333,-0.324243@-78.370667*-1.2108109@-79.329689,4
EC,EC-O,Provincia de El Oro,El Oro,Provincia de El Oro,"El Oro, Ecuador",administrative_area_level_1,Ecuador,-3.5,-79.83333,-3.0484269@-79.358108*-3.90139@-80.3081728,2
EC,EC-E,Provincia de Esmeraldas,Esmeraldas,Provincia de Esmeraldas,"Esmeraldas, Ecuador",administrative_area_level_1,Ecuador,0.83333,-79.25,1.4189339@-78.421005*0.076514@-80.09697,6
EC,EC-D,Provincia de Francisco de Orellana,Orellana,Provincia de Francisco de Orellana,"Orellana, Ecuador",administrative_area_level_1,Ecuador,-0.75,-76.41667,-0.0418569@-75.184586*-1.5477179@-77.6685079,6
EC,EC-W,Provincia de Galapagos,Galapagos,Provincia de Galapagos,"Galapagos Islands, Ecuador",administrative_area_level_1,Ecuador,-0.67015,-90.87341,1.6815752@-89.2408909*-1.4114102@-92.0084893,16
EC,EC-I,Provincia de Imbabura,Imbabura,Provincia de Imbabura,"Imbabura, Ecuador",administrative_area_level_1,Ecuador,0.37631,-78.32371,0.8569121@-77.828034*0.125442@-79.230362,3
EC,EC-L,Provincia de Loja,Loja,Provincia de Loja,"Loja, Ecuador",administrative_area_level_1,Ecuador,-4.16667,-79.5,-3.324501@-79.0934371*-4.736351@-80.48139189999999,4
EC,EC-R,Provincia de Los Rios,Los Rios,Provincia de Los Rios,"Los Rios, Ecuador",administrative_area_level_1,Ecuador,-1.41667,-79.58333,-0.5303@-79.080353*-2.1302071@-79.8767999,3
EC,EC-M,Provincia de Manabi,Manabi,Provincia de Manabi,"Manabi, Ecuador",administrative_area_level_1,Ecuador,-0.66667,-80.08333,0.394737@-79.3954009*-1.92619@-81.0774715,9
EC,EC-S,Provincia de Morona-Santiago,Morona-Santiago,Provincia de Morona-Santiago,"Morona-Santiago, Ecuador",administrative_area_level_1,Ecuador,-2.5,-77.91667,-1.443362@-76.73908999999999*-3.823733@-78.969154,9
EC,EC-N,Provincia de Napo,Napo,Provincia de Napo,"Napo, Ecuador",administrative_area_level_1,Ecuador,-0.62915,-77.83164,0.036432@-77.049857*-1.273843@-78.410088,6
EC,EC-P,Provincia de Pichincha,Pichincha,Provincia de Pichincha,"Pichincha, Ecuador",administrative_area_level_1,Ecuador,-0.08333,-78.5,0.344864@-77.83552499999999*-0.714463@-79.368635,6
EC,EC-SE,Provincia de Santa Elena,Santa Elena,Provincia de Santa Elena,"Santa Elena, Ecuador",administrative_area_level_1,Ecuador,-2.08333,-80.58333,-1.647962@-80.2266889*-2.508378@-81.0067736,4
EC,EC-SD,Provincia de Santo Domingo de los Tsachilas,Santo Domingo de los Tsachilas,Provincia de Santo Domingo de los Tsachilas,"Santo Domingo de los Tsachilas, Ecuador",administrative_area_level_1,Ecuador,-0.28945,-79.18577,0.123351@-78.73494099999999*-0.6861889999999999@-79.623871,4
EC,EC-U,Provincia de Sucumbios,Sucumbios,Provincia de Sucumbios,"Sucumbios, Ecuador",administrative_area_level_1,Ecuador,0.1,-76.86667,0.651662@-75.2348859*-0.648883@-77.9738229,6
EC,EC-Z,Provincia de Zamora-Chinchipe,Zamora-Chinchipe,Provincia de Zamora-Chinchipe,"Zamora-Chinchipe, Ecuador",administrative_area_level_1,Ecuador,-4.25,-78.83333,-3.3357891@-78.3993*-4.998823@-79.427795,4
EC,EC-A,Provincia del Azuay,Azuay,Provincia del Azuay,"Azuay, Ecuador",administrative_area_level_1,Ecuador,-3.08333,-79.33333,-2.55303@-78.43984999999999*-3.620066@-79.76039899999999,4
EC,EC-C,Provincia del Carchi,Carchi,Provincia del Carchi,"Carchi, Ecuador",administrative_area_level_1,Ecuador,0.75,-78.08333,1.1878679@-77.5582881*0.360788@-78.55054489999999,4
EC,EC-F,Provincia del Canar,Canar,Provincia del Canar,"Canar, Ecuador",administrative_area_level_1,Ecuador,-2.5,-79,-2.215312@-78.56726809999999*-2.8466969@-79.5279461,2
EC,EC-H,Provincia del Chimborazo,Chimborazo,Provincia del Chimborazo,"Chimborazo, Ecuador",administrative_area_level_1,Ecuador,-1.91667,-78.75,-1.43207@-78.349037*-2.5866021@-79.248284,4
EC,EC-G,Provincia del Guayas,Guayas,Provincia del Guayas,"Guayas, Ecuador",administrative_area_level_1,Ecuador,-2,-79.83333,-0.839573@-79.09728199999999*-3.062438@-80.561928,8
EC,EC-Y,Provincia del Pastaza,Pastaza,Provincia del Pastaza,"Pastaza, Ecuador",administrative_area_level_1,Ecuador,-1.66667,-76.83333,-1.083427@-75.576691*-2.6300901@-78.30367509999999,8
EC,EC-T,Provincia del Tungurahua,Tungurahua,Provincia del Tungurahua,"Tungurahua, Ecuador",administrative_area_level_1,Ecuador,-1.25,-78.5,-0.9803009999999999@-78.144211*-1.507969@-78.93395199999999,2
GY,GY-BA,Barima-Waini Region,Barima-Waini,Barima-Waini Region,"Barima-Waini, Guyana",administrative_area_level_1,Guyana,7.66667,-59.75,8.5480995@-58.8041041*6.981004@-60.7125971,9
GY,GY-CU,Cuyuni-Mazaruni Region,Cuyuni-Mazaruni,Cuyuni-Mazaruni Region,"Cuyuni-Mazaruni, Guyana",administrative_area_level_1,Guyana,6,-60,7.233457@-58.56568799999999*5.16021@-61.396271,12
GY,GY-DE,Demerara-Mahaica Region,Demerara-Mahaica,Demerara-Mahaica Region,"Demerara-Mahaica, Guyana",administrative_area_level_1,Guyana,6.5,-58.08333,6.826398299999999@-57.8823981*6.096394@-58.3052001,2
GY,GY-EB,East Berbice-Corentyne Region,East Berbice-Corentyne,East Berbice-Corentyne Region,"East Berbice-Corentyne, Guyana",administrative_area_level_1,Guyana,4,-58.16667,6.3251509@-56.48025089999999*1.452054@-58.518758,18
GY,GY-ES,Essequibo Islands-West Demerara Region,Essequibo Islands-West Demerara,Essequibo Islands-West Demerara Region,"Essequibo Islands-West Demerara, Guyana",administrative_area_level_1,Guyana,6.66667,-58.5,7.0862864@-58.1656161*6.114976@-58.835067,2
